player_x,player_y,enemy_x,enemy_y,game_distance
112,977,627,958,550.0
227,977,743,958,550.0
343,977,859,958,550.0
459,977,975,958,550.0
574,977,1092,958,550.0
690,977,1208,958,550.0
805,977,1324,958,550.0
921,977,1441,958,550.0
1043,977,1563,958,550.0
1152,977,1673,958,550.0
1274,977,1796,958,550.0
1310,977,1832,958,550.0
1309,965,1828,946,550.0
1294,859,1792,839,550.0
1249,822,1740,802,550.0
1135,822,1625,802,550.0
1027,822,1515,802,550.0
918,822,1406,802,550.0
809,822,1297,802,550.0
701,822,1188,802,550.0
592,822,1078,802,550.0
483,822,969,802,550.0
375,822,860,802,550.0
266,822,751,802,550.0
157,822,641,802,550.0
139,760,611,740,550.0
244,753,714,733,550.0
350,753,821,733,550.0
455,753,927,733,550.0
561,753,1033,733,550.0
666,753,1139,733,550.0
772,753,1245,733,550.0
877,753,1351,733,550.0
983,753,1457,733,550.0
1088,753,1563,733,550.0
1194,753,1670,733,550.0
1296,749,1771,729,550.0
1307,674,1767,654,550.0
1208,651,1663,631,550.0
1107,651,1562,631,550.0
1006,651,1460,631,550.0
905,651,1359,631,550.0
799,651,1252,631,550.0
698,651,1150,631,550.0
597,651,1049,631,550.0
496,651,947,631,550.0
395,651,846,631,550.0
294,651,744,631,550.0
188,651,638,631,550.0
204,570,638,549,550.0
302,570,736,549,550.0
399,570,833,549,550.0
496,570,931,549,550.0
594,570,1029,549,550.0
691,570,1127,549,550.0
788,570,1225,549,550.0
886,570,1322,549,550.0
983,570,1420,549,550.0
1080,570,1518,549,550.0
1177,570,1616,549,550.0
1275,570,1714,549,550.0
1367,570,1806,549,550.0
1336,570,1775,549,550.0
1239,570,1678,549,550.0
1142,570,1580,549,550.0
1044,570,1482,549,550.0
947,570,1384,549,550.0
850,570,1286,549,550.0
752,570,1189,549,550.0
655,570,1091,549,550.0
553,570,988,549,550.0
455,570,890,549,550.0
358,570,792,549,550.0
261,570,694,549,550.0
163,570,597,549,550.0
121,524,545,503,550.0
212,509,633,489,550.0
306,509,728,489,550.0
401,509,823,489,550.0
495,509,918,489,550.0
595,509,1018,489,550.0
685,509,1108,489,550.0
784,509,1208,489,550.0
879,509,1303,489,550.0
973,509,1398,489,550.0
1068,509,1494,489,550.0
1163,509,1589,489,550.0
1257,509,1684,489,550.0
1348,506,1775,486,550.0
1360,441,1774,421,550.0
1276,422,1685,401,550.0
1186,422,1594,401,550.0
1095,422,1503,401,550.0
1004,422,1412,401,550.0
914,422,1321,401,550.0
823,422,1230,401,550.0
732,422,1138,401,550.0
642,422,1047,401,550.0
551,422,956,401,550.0
460,422,865,401,550.0
370,422,774,401,550.0
279,422,683,401,550.0
189,422,592,401,550.0
146,379,541,358,550.0
229,359,620,338,550.0
317,359,708,338,550.0
404,359,796,338,550.0
492,359,885,338,550.0
580,359,973,338,550.0
668,359,1061,338,550.0
756,359,1149,338,550.0
844,359,1238,338,550.0
931,359,1326,338,550.0
1019,359,1414,338,550.0
1107,359,1502,338,550.0
1195,359,1590,338,550.0
1283,359,1679,338,550.0
1371,359,1767,338,550.0
1427,332,1818,311,550.0
1368,293,1751,273,550.0
1278,293,1661,273,550.0
1194,293,1576,273,550.0
1109,293,1491,273,550.0
1024,293,1405,273,550.0
939,293,1320,273,550.0
854,293,1235,273,550.0
769,293,1149,273,550.0
684,293,1064,273,550.0
599,293,979,273,550.0
514,293,894,273,550.0
430,293,808,273,550.0
345,293,723,273,550.0
260,293,638,273,550.0
175,293,553,273,550.0
129,262,500,242,550.0
215,252,584,232,550.0
298,252,668,232,550.0
381,252,751,232,550.0
464,252,835,232,550.0
547,252,918,232,550.0
630,252,1001,232,550.0
713,252,1085,232,550.0
796,252,1168,232,550.0
884,252,1256,232,550.0
967,252,1339,232,550.0
1050,252,1423,232,550.0
1133,252,1506,232,550.0
1216,252,1590,232,550.0
1299,252,1673,232,550.0
1382,252,1756,232,550.0
1443,229,1813,208,550.0
1366,215,1733,194,550.0
1284,215,1651,194,550.0
1203,215,1569,194,550.0
1122,215,1488,194,550.0
1040,215,1406,194,550.0
959,215,1324,194,550.0
878,215,1243,194,550.0
796,215,1161,194,550.0
715,215,1079,194,550.0
634,215,998,194,550.0
552,215,916,194,550.0
471,215,834,194,550.0
390,215,752,194,550.0
308,215,671,194,550.0
227,215,589,194,550.0
146,215,507,194,550.0
107,215,469,194,550.0
104,1046,496,655,550.0
136,1046,523,655,550.0
261,1046,631,655,550.0
379,1046,734,655,550.0
498,1046,836,655,550.0
617,1046,939,655,550.0
735,1046,1042,655,550.0
860,1046,1150,655,550.0
979,1046,1252,655,550.0
1098,1046,1355,655,550.0
1223,1046,1463,655,550.0
1341,1046,1565,655,550.0
