2025-12-18 14:56:39 [INFO] Press DELETE key to exit anytime.
2025-12-18 14:56:42 [INFO] Game mode set to 'test'.
2025-12-18 14:56:44 [INFO] Starting Script. Waiting for client...
2025-12-18 14:56:45 [INFO] Connected to League client.
2025-12-18 14:56:46 [INFO] [EVENT] Game is in progress.
2025-12-18 14:56:46 [INFO] Starting bot for mode: core.run_test
2025-12-18 14:56:47 [INFO] Game has started.
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
2025-12-18 14:56:47 [INFO] Current HP: 610.0
2025-12-18 14:56:47 [INFO] Current Level: 1
